week,from,to
1,AL,RN
1,VW,RN
1,RN,KW
1,CH,RN
1,KW,CH
1,KJ,CH
1,Kwi,CH
1,AM,KW
1,KW,AM
1,KW,AL
1,ZT,AL
1,LW,AL
1,RS,AL
1,SP,AL
1,JK,AL
1,ZT,KJ
1,RS,KJ
1,KJ,ZT
1,NW,ZT
1,JP,ZT
1,DW,ZT
1,JK,DW
1,RN,AM
1,SP,AM
1,KWi,KV
1,AV,KV
1,ZT,KV
2,KW,RN
2,VW,KW
2,SP,RN
2,KJ,RN
2,RN,RN
2,DW,RN
2,AN,AM
2,RN,AN
2,CH,AM
2,AM,CH
2,SP,AM
2,NW,AM
2,JH,AM
2,RS,AM
2,JK,AM
2,AM,JK
2,RN,AN
2,AN,RN
2,SP,AN
2,AL,AN
2,AV,AN
2,AL,SP
2,AM,AL
2,NW,AL
2,KW,AL
2,SP,SP
2,KW,ZT
2,SP,KW
2,ZT,ZT
2,SP,LW
2,RN,LW
2,KV,RN
2,ZT,LW
2,LW,ZT
2,SP,KW
2,ZT,KW
2,KV,KW
2,KW,KW
2,KJ,CH
2,LW,CH
2,KJ,AL
2,RN,AL
2,AV,AL
2,AL,AL
2,ZT,KJ
2,AM,KJ
2,ZT,DW
2,AM,VW
2,AM,RS
2,RS,RS
2,AM,AV
2,AV,AM
2,AV,NW
2,NW,NW
2,AV,KW
2,AM,KW
2,KW,KW
2,KWi,JH
2,JH,KWi
3,ZT,RN
3,RN,ZT
3,KJ,RN
3,RN,KJ
3,NW,RN
3,JK,RN
3,RN,JK
3,CH,ZT
3,ZT,CH
3,RN,CH
3,KJ,CH
3,LW,CH
3,KJ,ZT
3,AN,ZT
3,RN,CH
3,KW,CH
3,AL,CH
3,ZT,KJ
3,JH,KJ
3,VW,KJ
3,AV,KJ
3,KWi,KJ
3,NW,KW
3,RN,AV
3,JH,AV
3,KV,AV
3,DW,SP
3,SP,DW
3,AV,SP
3,KW,SP
3,JH,SP
3,SP,JH
3,RN,SP
3,SP,RN
3,VW,SP
3,AM,SP
3,KW,AM
3,AM,JH
3,VW,VW
3,KW,KWi
3,RS,LW
3,ZT,AN
3,AN,ZT
4,RN,NW
4,NW,RN
4,RN,NW
4,NW,RN
4,JN,NW
4,RN,JN
4,KV,NW
4,ZT,NW
4,VW,NW
4,KWi,VW
4,AN,NW
4,JK,NW
4,AM,RS
4,JH,AM
4,RN,JH
4,SP,RN
4,KJ,RS
4,VW,RS
4,RN,AV
4,KV,AV
4,KW,KV
4,VW,AV
4,JH,AL
4,AL,JH
4,AM,ZT
4,ZT,AM
4,ZT,LW
4,LW,ZT
4,RN,LW
4,AV,RN
4,RN,AV
4,LW,RN
4,AV,JH
4,AV,KWi
4,LW,KWi
4,AV,SP
4,SP,AV
4,RS,SP
4,KWi,RS
4,KJ,KV
4,KWi,KJ
5a,ZT,RN
5a,JH,ZT
5a,RN,ZT
5a,RN,JH
5a,KV,JH
5a,RN,KV
5a,ZT,KV
5a,KV,ZT
5a,ZT,KV
5a,RN,ZT
5a,KV,ZT
5b,AV,AL
5b,VW,AL
5b,DW,VW
5b,DW,AV
5b,LW,AV
5b,VW,AV
5b,AL,AV
5b,LW,DW
5c,AM,RS
5c,NW,RS
5c,RS,NW
5c,CH,RS
5c,NW,CH
5c,RS,AM
5c,JK,AM
5c,CH,NW
5d,KJ,SP
5d,KWi,KJ
5d,KWi,KJ
5d,KJ,KWi
5d,SP,KJ
5d,KJ,SP
5d,SP,KWi
5d,KWi,SP
5d,SP,KWi
5d,KJ,KWi
6a,RN,ZT
6a,ZT,RN
6a,KV,ZT
6a,RN,KV
6a,JH,RN
6a,KV,ZT
6a,RN,KV
6a,ZT,KV
6a,RN,KV
6a,JH,KV
6a,RN,JH
6b,VW,AL
6b,AV,AL
6b,AL,DW
6b,DW,AL
6b,AL,DW
6b,VW,DW
6b,LW,DW
6b,AL,AV
6b,DW,AL
6b,AV,LW
6b,LW,AV
6c,NW,AM
6c,AM,NW
6c,NW,AM
6c,RS,NW
6c,CH,NW
6c,CH,RS
6c,JK,CH
6d,AN,KJ
6d,SP,KJ
6d,KJ,SP
6d,AN,KJ
6d,KW,KJ
6d,KJ,KW
6d,KW,SP
6d,SP,KW
6d,SP,AN
6d,KW,AN
6d,KJ,AN
7a,RN,RN
7a,NW,RN
7a,RN,NW
7a,JH,NW
7a,RN,NW
7a,JH,NW
7a,ZT,RN
7a,RN,ZT
7a,JH,RN
7a,KV,ZT
7a,ZN,ZT
7a,RN,JH
7a,KV,JH
7b,AV,DW
7b,AL,DW
7b,LW,DW
7b,DW,DW
7b,AL,LW
7b,DW,LW
7b,LW,DW
7b,VW,LW
7c,NW,AM
7c,AM,NW
7c,NW,AM
7c,JK,AM
7c,AM,NW
7c,NW,AM
7c,RS,RS
7c,CH,RS
7c,AM,RS
7c,RS,AM
7c,NW,AM
7c,RS,JK
7d,NW,SP
7d,KW,SP
7d,SP,KW
7d,KJ,SP
7d,AN,SP
7d,SP,KW
7d,KW,SP
7d,KJ,KW
8a,ZT,RN
8a,RN,ZT
8a,JH,ZT
8a,KV,RN
8a,JK,RN
8a,RN,ZT
8a,KV,ZT
8a,RN,KV
8a,JH,KV
8a,RN,JH
8b,LW,AL
8b,DW,AL
8b,AV,AL
8b,AL,AL
8b,AV,LW
8b,AV,DW
8b,AL,DW
8b,AL,AV
8b,VW,AV
8c,AM,CH
8c,NW,CH
8c,NW,AM
8c,RS,NW
8d,KJ,SP
8d,SP,KW
8d,KJ,AN
8d,KW,AN
8d,AN,KJ
8d,KJ,KJ